30,40,.,.,.,.,.,.,.,.,.,.,.
.,.,.,W30x40y30z,EXIT,.,A2,.,.,D10,.,.,.
.,.,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.
.,.,.,.,.,.,W30x40y30z,.,A2,W30x40y30z,.,.,.
.,.,.,W30x40y30z,.,SPAWN,W30x40y30z,.,.,W30x40y30z,.,.,.
.,.,.,W30x40y30z,.,.,W30x40y30z,W30x40y30z,.,W30x40y30z,.,.,.
.,.,.,W30x40y30z,.,OT1_2,W30x40y30z,W30x40y30z,.,W30x40y30z,.,.,.
.,.,.,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z,.,.,S25A45D
.,.,.,W30x40y30z,.,.,.,.,.,W30x40y30z,D10,W30x40y30z,W30x40y30z
W30x40y10z,W30x40y10z,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,.,W30x40y30z,.,.,.
W30x40y10z,W30x40y10z,.,W30x40y30z,.,.,.,.,.,W30x40y30z,.,.,A2
.,.,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z,.,.,.
S-90A90D,W30x40y10z,.,W30x40y30z,S-25A45D,.,W30x40y30z,.,.,.,.,.,W30x40y30z
.,.,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,.,.
W30x40y10z,W30x40y10z,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,.
W30x40y10z,W30x40y10z,.,W30x40y30z,.,.,W30x40y30z,.,.,A1,W30x40y30z,.,.
.,.,.,W30x40y30z,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,.
.,.,.,W30x40y30z,.,.,.,.,W30x40y30z,W30x40y30z,W30x40y30z,.,.
W30x40y10z,W30x40y10z,.,W30x40y30z,.,A1,.,.,.,.,.,.,W30x40y30z
W30x40y10z,W30x40y10z,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,.,.
K,.,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z
.,.,.,W30x40y30z,.,.,.,.,W30x40y30z,.,W30x40y30z,.,A2
.,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,.,.,W30x40y30z,.,W30x40y30z
.,W30x40y30z,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,.
.,A1,.,W30x40y30z,.,.,.,.,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z
.,W30x40y30z,.,W30x40y30z,.,.,.,.,.,.,.,.,.
.,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z
.,.,.,W30x40y30z,K,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,IW_M9
.,W30x40y30z,.,W30x40y30z,.,A2,W30x40y30z,.,W30x40y30z,A2,W30x40y30z,.,W30x40y30z
.,W30x40y30z,.,W30x40y30z,.,.,W30x40y30z,.,W30x40y30z,.,W30x40y30z,.,.
.,A1,.,W30x40y30z,.,.,.,.,W30x40y30z,OT2,W30x40y30z,.,A1
