30,70,.,.,.,.,.,.,.,.,.,.
A1,.,K,.,.,D,D,EXIT,W30x100y30z,.,.,.
.,.,.,.,.,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,.,.,.
.,.,.,.,A1,W30x100y30z,.,.,.,.,.,K
.,.,S0A180D,.,.,W30x100y30z,.,.,.,.,.,.
.,.,.,.,.,D,.,.,A1,.,A2,.
.,.,OT2_1,.,.,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z
W30x100y30z,W30x25y30z,W30x25y30z,W30x25y30z,W30x100y30z,W30x100y30z,W30x35y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x100y30z
W30x100y30z,W30x35y30z,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,W30x20y30z,OT1_2,.,K,W30x40y30z,W30x100y30z
W30x100y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x40y30z,W30x50y30z,W30x35y30z,.,.,.,W30x40y30z,W30x100y30z
W30x100y30z,W30x100y30z,W30x100y30z,W30x40y30z,W30x100y30z,W30x100y30z,W30x100y30z,A1,W6x100y6z,.,W30x40y30z,W30x100y30z
W30x40y30z,W30x40y30z,W30x50y30z,W30x40y30z,W30x25y30z,W30x100y30z,W30x100y30z,.,.,A2,W30x40y30z,W30x100y30z
W30x40y30z,W30x100y30z,W30x100y30z,.,OT2_1,.,W30x100y30z,.,.,.,W30x40y30z,W30x100y30z
W30x40y30z,W30x100y30z,W30x100y30z,.,.,.,W30x100y30z,D,W30x100y30z,W30x100y30z,W30x40y30z,W30x100y30z
W30x40y30z,W30x100y30z,W30x100y30z,A1,A2,.,W30x40y30z,.,W30x40y30z,W30x40y30z,W30x40y30z,W30x100y30z
W30x40y30z,W30x40y30z,W30x50y30z,.,.,K,W30x40y30z,.,.,K,W30x100y30z,W30x100y30z
W30x40y30z,W30x100y30z,W30x100y30z,.,.,A2,W30x40y30z,.,.,.,D,.
W30x40y30z,W30x100y30z,W30x100y30z,.,.,.,W30x100y30z,.,.,.,W30x100y30z,.
W30x40y30z,W30x100y30z,W30x100y30z,.,.,.,W30x100y30z,.,A2,.,W30x100y30z,.
W30x30y30z,W30x100y30z,W30x100y30z,.,.,.,W30x100y30z,.,.,.,W30x100y30z,.
W30x15y30z,W30x100y30z,W30x100y30z,A1,.,.,W30x100y30z,.,.,.,W30x100y30z,A2
,,W30x100y30z,.,,.,.,A2,.,.,W30x100y30z,
SPAWN,.,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,W30x100y30z,K
